#(*initial setting*)
#M1=M3=1M_SUN, 
#a1=1AU,
#a2*\sqrt{1-e_2^2}=10AU,
#e_1,0=0.0001,
#\omega_1,0=\Omega_0=0. 
#
#
#(*cases*)
#epsilon_oct    i_flip [Deg]      a_2 [AU]      e_2
0.001          87.548            10.00         0.01
0.006          82.5059           10.02         0.06
0.011          79.0682           10.06         0.11
0.016          75.0575           10.13         0.16
0.021          71.5051           10.22         0.21
0.026          67.609            10.33         0.25
0.031          61.0773           10.47         0.30 
0.036          54.7748           10.63         0.34
0.041          52.1392           10.81         0.38
0.046          49.5036           11.01         0.42
0.051          48.4722           11.23         0.45
0.056          47.6701           11.46         0.49
0.061          47.6701           11.71         0.52
0.066          47.6701           11.98         0.55
0.071          47.6701           12.26         0.58
0.076          47.6701           12.56         0.61
0.081          47.6701           12.87         0.63
0.086          47.6701           13.19         0.65
0.091          47.6701           13.52         0.67
0.096          47.6701           13.86         0.69
